Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	alpha[11]	alpha[12]	alpha[13]	alpha[14]	alpha[15]	alpha[16]	alpha[17]	alpha[18]	alpha[19]	alpha[20]	alpha[21]	alpha[22]	alpha[23]	alpha[24]	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	clock_rate[5]	clock_rate[6]	clock_rate[7]	clock_rate[8]	clock_rate[9]	clock_rate[10]	clock_rate[11]	clock_rate[12]	clock_rate[13]	clock_rate[14]	clock_rate[15]	clock_rate[16]	clock_rate[17]	clock_rate[18]	clock_rate[19]	clock_rate[20]	clock_rate[21]	clock_rate[22]	clock_rate[23]	clock_rate[24]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	kappa[11]	kappa[12]	kappa[13]	kappa[14]	kappa[15]	kappa[16]	kappa[17]	kappa[18]	kappa[19]	kappa[20]	kappa[21]	kappa[22]	kappa[23]	kappa[24]	log_clock_rate[1]	log_clock_rate[2]	log_clock_rate[3]	log_clock_rate[4]	log_clock_rate[5]	log_clock_rate[6]	log_clock_rate[7]	log_clock_rate[8]	log_clock_rate[9]	log_clock_rate[10]	log_clock_rate[11]	log_clock_rate[12]	log_clock_rate[13]	log_clock_rate[14]	log_clock_rate[15]	log_clock_rate[16]	log_clock_rate[17]	log_clock_rate[18]	log_clock_rate[19]	log_clock_rate[20]	log_clock_rate[21]	log_clock_rate[22]	log_clock_rate[23]	log_clock_rate[24]	relativeExtinction	root	speciation
0	-140661	-140376	-285.459	0.176233	0.20407	0.195095	0.180881	0.167333	0.202326	0.194545	0.194074	0.216828	0.170873	0.164004	0.20056	0.219428	0.196401	0.185556	0.166197	0.186068	0.194636	0.185818	0.18452	0.177263	0.199617	0.210261	0.197561	0.00699341	0.00676347	0.00711956	0.0062521	0.00641626	0.0064955	0.00646586	0.00654643	0.00657871	0.00647599	0.00674604	0.00683309	0.00696334	0.00677741	0.00728863	0.00744281	0.00749079	0.00586194	0.00639592	0.00649337	0.0069755	0.00610312	0.00636466	0.00697014	5.70731	5.65384	5.33058	5.22633	4.98548	5.23799	5.65472	4.54837	4.46652	4.13591	5.87963	4.33247	4.25812	5.32414	5.11438	5.70365	4.86957	4.47821	5.277	4.92961	4.45094	4.69445	5.16085	4.34612	6.72703	-2.15531	-2.16983	-2.14755	-2.20397	-2.19272	-2.18739	-2.18937	-2.184	-2.18186	-2.18869	-2.17095	-2.16538	-2.15718	-2.16894	-2.13735	-2.12826	-2.12547	-2.23196	-2.1941	-2.18753	-2.15642	-2.21445	-2.19622	-2.15676	0.999736	73.1345	5.70882
10	-140665	-140383	-281.983	0.203301	0.196281	0.187984	0.174804	0.184458	0.206256	0.21554	0.203364	0.193815	0.193551	0.174879	0.20448	0.198948	0.171521	0.209353	0.172147	0.162214	0.194973	0.219268	0.183357	0.234369	0.19314	0.179018	0.190809	0.0060698	0.00658594	0.00697318	0.0070922	0.00671897	0.00705253	0.00585492	0.00654643	0.00733935	0.00601025	0.00697536	0.00745661	0.00735472	0.00661748	0.00665686	0.00619764	0.00666891	0.00698135	0.00708687	0.0070068	0.00671999	0.00602882	0.00661629	0.00708692	2.70282	4.66945	4.45196	4.41267	4.806	5.01978	5.41998	4.61875	5.65037	5.36259	4.97023	4.83023	5.19877	4.37184	5.12854	4.99347	5.18206	4.5878	4.8707	5.16389	4.73699	4.79026	5.06946	5.21062	5.10171	-2.21683	-2.18138	-2.15657	-2.14922	-2.1727	-2.15166	-2.23248	-2.184	-2.13434	-2.22111	-2.15643	-2.12746	-2.13343	-2.17931	-2.17673	-2.20777	-2.17595	-2.15606	-2.14955	-2.15448	-2.17263	-2.21977	-2.17939	-2.14954	0.992592	73.9282	2.72299
20	-140656	-140373	-283.054	0.189712	0.171176	0.23148	0.196356	0.194583	0.181225	0.194984	0.176236	0.190162	0.210625	0.184327	0.195213	0.178906	0.197865	0.191768	0.195354	0.196245	0.185627	0.196628	0.204097	0.213145	0.184767	0.204779	0.187647	0.00689517	0.00710032	0.00683685	0.00652763	0.00706707	0.00708441	0.00674844	0.00637514	0.00745439	0.00748042	0.00726879	0.00645918	0.00612535	0.00655663	0.00632935	0.00682853	0.00679113	0.00677612	0.00729432	0.00596305	0.00696025	0.0064331	0.00685405	0.00682301	2.83954	4.99257	4.4623	4.77375	4.5528	6.16081	4.39675	5.40843	4.75456	6.19307	4.86063	5.15531	4.38679	4.50893	4.95537	5.35721	4.86412	5.39769	5.52896	4.13709	5.61048	5.20927	4.8465	5.48137	5.40197	-2.16146	-2.14872	-2.16514	-2.18524	-2.15076	-2.1497	-2.1708	-2.19551	-2.12759	-2.12607	-2.13854	-2.18982	-2.21287	-2.18332	-2.19864	-2.16567	-2.16806	-2.16902	-2.13701	-2.22453	-2.15738	-2.19158	-2.16405	-2.16602	0.9946	73.9282	2.85496
30	-140667	-140381	-286.57	0.181605	0.191475	0.206716	0.181971	0.208976	0.170575	0.195939	0.200094	0.212714	0.191277	0.199532	0.183754	0.209509	0.192763	0.207214	0.194635	0.178037	0.186109	0.189257	0.193781	0.19432	0.20001	0.206001	0.209769	0.00623007	0.00605549	0.00685024	0.00640816	0.00643357	0.00631297	0.00677978	0.00713514	0.00633301	0.00671165	0.00634073	0.00731252	0.006825	0.00616527	0.00677081	0.006984	0.0064593	0.00633457	0.00651867	0.006901	0.00766794	0.00666001	0.00575209	0.00701479	3.18642	4.96183	4.40743	5.01193	4.48973	5.24217	5.28805	5.38139	4.87339	3.9764	5.24192	5.95616	6.18562	4.58546	4.67086	4.85265	4.73375	5.39077	4.66474	4.88729	4.13933	5.47752	5.21613	5.8359	4.84349	-2.20551	-2.21785	-2.16429	-2.19327	-2.19155	-2.19977	-2.16878	-2.1466	-2.19839	-2.17317	-2.19786	-2.13593	-2.1659	-2.21005	-2.16936	-2.1559	-2.18981	-2.19828	-2.18584	-2.16109	-2.11532	-2.17652	-2.24017	-2.15399	0.989076	71.369	3.22161
40	-140660	-140373	-286.952	0.200202	0.196139	0.18832	0.208182	0.213881	0.207264	0.19522	0.201942	0.210753	0.191905	0.220952	0.190698	0.206421	0.187788	0.193414	0.18933	0.192898	0.175758	0.207761	0.18796	0.211124	0.210715	0.203675	0.202275	0.00642674	0.00605549	0.00654245	0.00782768	0.00686864	0.0069917	0.00631648	0.00685251	0.00698681	0.00647889	0.00642233	0.00589823	0.00640232	0.00652775	0.00634069	0.00723473	0.0065207	0.0060708	0.00719841	0.00685192	0.00671137	0.00660685	0.00693585	0.00592403	3.5367	5.45777	4.66119	4.00892	5.50052	5.98225	4.45955	6.12931	4.70708	4.90139	4.70083	4.43439	4.69635	4.9919	5.45837	4.60345	4.58381	4.81489	5.39927	4.49255	4.57133	4.72261	3.98474	4.70354	3.77013	-2.19201	-2.21785	-2.18426	-2.10637	-2.16313	-2.15542	-2.19953	-2.16415	-2.15572	-2.1885	-2.19231	-2.22928	-2.19366	-2.18524	-2.19786	-2.14058	-2.18571	-2.21675	-2.14276	-2.16419	-2.17319	-2.18001	-2.1589	-2.22738	0.997074	68.6362	3.54708
50	-140649	-140362	-286.552	0.166244	0.202854	0.180124	0.181138	0.204454	0.222958	0.185022	0.195637	0.210288	0.190704	0.221537	0.203674	0.203869	0.188145	0.192094	0.207714	0.201961	0.190758	0.202113	0.249058	0.191161	0.213394	0.208489	0.197677	0.00657143	0.00650734	0.00655886	0.00667344	0.00677435	0.00673205	0.00685017	0.00721448	0.00694407	0.0064966	0.00612157	0.00688646	0.00667462	0.0068857	0.00716678	0.00663703	0.00606829	0.00610449	0.00628385	0.00641425	0.00673908	0.0062256	0.00650827	0.00654734	3.97623	4.64329	4.89305	4.51509	4.84506	4.71667	4.76747	4.70665	4.91894	5.27893	5.04081	5.41142	4.6195	5.2504	4.76827	4.26371	4.69616	4.14692	4.58914	4.51012	5.12646	4.79912	4.34497	5.22664	4.76259	-2.18234	-2.1866	-2.18317	-2.17565	-2.16913	-2.17185	-2.1643	-2.14179	-2.15839	-2.18731	-2.21314	-2.162	-2.17557	-2.16205	-2.14468	-2.17803	-2.21693	-2.21435	-2.20177	-2.19285	-2.1714	-2.20582	-2.18653	-2.18393	0.998732	68.6362	3.98128
60	-140646	-140355	-291.173	0.186398	0.191368	0.196921	0.201187	0.18792	0.181528	0.216322	0.199633	0.216298	0.193932	0.172014	0.180354	0.200546	0.180024	0.213187	0.186139	0.201986	0.179981	0.176003	0.201638	0.220242	0.191108	0.200636	0.205563	0.00647484	0.00613745	0.00687752	0.00769775	0.00584924	0.00753299	0.00644543	0.00676713	0.00680231	0.00682451	0.00637113	0.00740078	0.00609912	0.00774775	0.00709931	0.00629536	0.00683874	0.00611535	0.0069359	0.00683295	0.00692451	0.00629562	0.00681641	0.00671154	4.20832	5.83383	5.76479	4.57219	4.83355	4.79097	5.39445	4.62876	5.08079	4.15738	5.28638	5.37336	5.29123	4.6191	5.0685	4.29963	5.34397	5.13298	5.53487	4.60226	4.81068	4.85396	4.64029	4.84985	5.24732	-2.18877	-2.21201	-2.16257	-2.11364	-2.2329	-2.12303	-2.19075	-2.1696	-2.16734	-2.16593	-2.19578	-2.13072	-2.21473	-2.11082	-2.14878	-2.20098	-2.16502	-2.21358	-2.1589	-2.16539	-2.15961	-2.20096	-2.16644	-2.17318	0.991864	68.6362	4.24285
70	-140666	-140378	-288.018	0.178215	0.191715	0.18809	0.208049	0.198337	0.206813	0.172057	0.229829	0.199793	0.202599	0.17457	0.191242	0.20349	0.200197	0.189455	0.189146	0.193259	0.195445	0.197321	0.214175	0.200097	0.222952	0.197352	0.175169	0.00657265	0.00718687	0.00673008	0.00617582	0.00622874	0.00678792	0.00618214	0.00708215	0.00647632	0.00666412	0.00657885	0.00747628	0.0067325	0.00587491	0.00687135	0.00607021	0.0073172	0.00649849	0.00661462	0.00670444	0.00698536	0.00631254	0.00681112	0.00759585	2.55041	5.07899	4.51835	5.32941	4.26864	4.52376	5.63327	4.94889	4.60938	4.94213	4.06673	5.61611	5.64209	5.3355	5.01014	5.10938	5.41696	5.25836	5.5861	4.87656	5.90572	5.0961	5.09346	4.46944	3.83356	-2.18226	-2.14346	-2.17198	-2.20931	-2.2056	-2.16826	-2.20886	-2.14983	-2.18867	-2.17626	-2.18185	-2.12631	-2.17182	-2.231	-2.16296	-2.2168	-2.13566	-2.18719	-2.1795	-2.17364	-2.15581	-2.1998	-2.16678	-2.11942	0.983427	70.7973	2.59339
80	-140652	-140367	-284.892	0.183326	0.214319	0.180299	0.22397	0.180204	0.200608	0.20601	0.185089	0.21419	0.213356	0.221323	0.174141	0.18388	0.172226	0.205324	0.165318	0.186024	0.180126	0.18873	0.187406	0.187989	0.200609	0.197678	0.180239	0.00610449	0.00604976	0.00680051	0.00628887	0.00702978	0.00675488	0.00611742	0.00644287	0.00683884	0.00638678	0.00712361	0.00678973	0.00700907	0.00756119	0.00628065	0.00618662	0.00700278	0.00673538	0.0073476	0.0069259	0.0070869	0.00634502	0.00653642	0.00636055	3.53559	4.2277	4.69068	4.40512	4.84201	5.7079	5.10101	5.02946	5.265	5.28058	4.75432	4.81431	4.47934	5.23749	4.48057	5.10938	5.4296	4.90741	5.03592	4.75785	5.80524	5.47529	4.76513	5.19443	4.54911	-2.21435	-2.21826	-2.16746	-2.20143	-2.15306	-2.17038	-2.21343	-2.19092	-2.16502	-2.19472	-2.1473	-2.16815	-2.15434	-2.12141	-2.202	-2.20855	-2.15473	-2.17164	-2.13385	-2.15952	-2.14954	-2.19757	-2.18466	-2.19651	0.999878	70.7973	3.53602
90	-140660	-140380	-280.042	0.19275	0.179967	0.200048	0.21268	0.207973	0.226347	0.170655	0.186349	0.187627	0.214986	0.17403	0.207293	0.197664	0.17085	0.199663	0.195517	0.17846	0.193281	0.184915	0.201028	0.195821	0.172893	0.155471	0.175334	0.00649784	0.00686579	0.00641145	0.00671661	0.0068354	0.0068823	0.00630886	0.00698965	0.00716616	0.00639065	0.00683198	0.00634497	0.00672874	0.00726754	0.00701972	0.00689279	0.00675253	0.00657518	0.00682841	0.00624453	0.00656215	0.00702884	0.00646452	0.00740238	2.72844	5.42321	5.34072	4.96411	5.1222	4.95394	4.63981	5.00866	5.72888	4.73187	4.55494	4.89289	5.19718	4.74364	4.33291	4.06706	4.02373	4.10111	5.06513	5.25176	5.49547	4.48131	5.40663	5.09781	4.62861	-2.18723	-2.16331	-2.19304	-2.17285	-2.16524	-2.16227	-2.20005	-2.15554	-2.14471	-2.19446	-2.16545	-2.19757	-2.17207	-2.13861	-2.15368	-2.16161	-2.17053	-2.18209	-2.16568	-2.2045	-2.18295	-2.15312	-2.18946	-2.13063	0.996649	74.333	2.73761
100	-140653	-140365	-287.401	0.185459	0.22143	0.211041	0.179457	0.211498	0.193834	0.19621	0.172363	0.188062	0.194482	0.194854	0.225756	0.204045	0.190759	0.195861	0.200219	0.181506	0.191591	0.169743	0.183072	0.194378	0.19458	0.198613	0.193046	0.00663333	0.00708003	0.00679932	0.00692217	0.00682134	0.00679638	0.00706436	0.00723705	0.00657099	0.00704302	0.00732681	0.00750626	0.00639911	0.00712013	0.00661683	0.00667256	0.00662975	0.00803256	0.00621778	0.00660976	0.00699966	0.00668442	0.00731063	0.00693733	5.04981	5.45956	5.73728	5.02322	5.10468	5.09078	5.25703	4.29188	4.74106	5.32231	5.43167	5.20552	4.84801	5.20913	5.78198	5.10149	5.50758	4.94709	4.68846	5.78076	4.73828	4.93077	5.24382	4.61166	4.72404	-2.17827	-2.14996	-2.16753	-2.15976	-2.16613	-2.16772	-2.15093	-2.14044	-2.18237	-2.15224	-2.13508	-2.12458	-2.19388	-2.14751	-2.17935	-2.17571	-2.1785	-2.09515	-2.20636	-2.17981	-2.15492	-2.17494	-2.13605	-2.15881	0.996211	72.0566	5.06902
110	-140671	-140387	-283.873	0.202693	0.177351	0.189386	0.193472	0.182201	0.223824	0.178638	0.188412	0.192733	0.211282	0.180153	0.203518	0.194234	0.190462	0.192342	0.199439	0.199847	0.196159	0.191179	0.200121	0.210971	0.191452	0.187571	0.228548	0.0060488	0.00621545	0.00665634	0.00610208	0.00604865	0.00694272	0.0072431	0.00652544	0.00684967	0.00704302	0.00643676	0.00642209	0.00641679	0.00679326	0.00673598	0.00695822	0.00717745	0.00644458	0.00683943	0.00649224	0.00658604	0.00672254	0.00675109	0.00680342	3.99282	4.58947	4.68801	5.98395	4.65541	5.01692	5.58005	5.7228	6.00034	5.75422	4.54118	6.21725	4.07268	5.18202	5.34115	5.34144	4.2217	4.64525	5.84228	4.62765	5.17047	4.87073	4.93047	4.61577	4.66743	-2.21833	-2.20653	-2.17676	-2.21452	-2.21834	-2.15847	-2.14008	-2.18539	-2.16433	-2.15224	-2.19133	-2.19232	-2.19268	-2.16792	-2.1716	-2.1575	-2.14403	-2.19081	-2.16498	-2.18761	-2.18138	-2.17247	-2.17063	-2.16727	0.994338	73.9405	4.01555
120	-140647	-140365	-282.361	0.174346	0.170799	0.210776	0.196012	0.189449	0.180617	0.197481	0.194168	0.210147	0.18238	0.180885	0.180357	0.207362	0.191683	0.194307	0.195486	0.197295	0.183128	0.193348	0.220806	0.191177	0.181935	0.182455	0.192483	0.00708703	0.00679204	0.00678097	0.00720934	0.00718296	0.00637763	0.0072499	0.00652281	0.00654152	0.00750894	0.0073179	0.0067442	0.00700135	0.00649242	0.0068816	0.00667908	0.00660458	0.00744563	0.00667251	0.00664167	0.00656712	0.00698039	0.00772217	0.0062169	2.89237	5.15873	4.72789	3.89685	5.87776	5.10832	5.64963	4.98428	5.13459	4.26257	4.41562	5.12604	5.07081	5.8076	4.87211	4.91333	4.22552	5.58101	5.56022	4.68582	5.19772	4.99066	4.77456	5.6297	4.89916	-2.14954	-2.168	-2.16871	-2.1421	-2.1437	-2.19534	-2.13967	-2.18557	-2.18432	-2.12442	-2.13561	-2.17107	-2.15482	-2.18759	-2.16231	-2.17528	-2.18016	-2.1281	-2.17571	-2.17772	-2.18263	-2.15612	-2.11226	-2.20643	0.993979	73.9405	2.90989
130	-140659	-140374	-284.868	0.180398	0.198104	0.19742	0.212406	0.183156	0.163174	0.210809	0.191101	0.209246	0.172089	0.19236	0.172469	0.177656	0.180357	0.186448	0.163166	0.210198	0.183777	0.182816	0.200976	0.201401	0.171003	0.195517	0.209181	0.00624569	0.00789667	0.00669612	0.00623687	0.00727391	0.00712553	0.00672178	0.00663715	0.00590547	0.00658287	0.00725415	0.00661044	0.00589158	0.00674755	0.00661537	0.00633117	0.00651397	0.0065614	0.00702579	0.0063367	0.00621921	0.00746493	0.00714391	0.00672731	3.69214	5.60129	4.87318	4.50221	4.73506	5.66514	4.72123	5.38919	5.3002	4.43482	4.45534	5.12604	4.96795	4.38267	5.50476	5.19103	5.02184	4.74868	5.54372	6.02707	4.29007	5.43766	5.28638	5.39596	5.11622	-2.20442	-2.10256	-2.17418	-2.20503	-2.13823	-2.14718	-2.17252	-2.17802	-2.22875	-2.18158	-2.13941	-2.17977	-2.22977	-2.17085	-2.17945	-2.19852	-2.18615	-2.183	-2.1533	-2.19814	-2.20626	-2.12697	-2.14606	-2.17216	0.989157	73.9405	3.73261
140	-140659	-140374	-284.733	0.205705	0.175272	0.195817	0.193092	0.173647	0.192985	0.187105	0.187169	0.212544	0.184775	0.187332	0.184201	0.181476	0.189284	0.18528	0.196236	0.17511	0.196163	0.174591	0.183903	0.215124	0.17803	0.174601	0.191807	0.00648794	0.00713938	0.00651004	0.00620336	0.00750704	0.00654582	0.00762224	0.00766482	0.00647766	0.00641046	0.00696741	0.00725076	0.00671479	0.00727094	0.00698222	0.00778849	0.00677602	0.00723946	0.00705805	0.00643215	0.00680332	0.00626737	0.00579826	0.00734298	1.80892	5.20574	5.41242	5.57019	5.13601	5.55676	5.27496	5.02069	3.93829	5.19696	4.08839	3.86935	4.70315	4.96681	5.2749	5.08496	5.174	5.49902	5.48077	4.8714	5.20981	6.03564	6.02969	5.54277	5.11622	-2.18789	-2.14634	-2.18642	-2.20737	-2.12453	-2.18404	-2.11792	-2.1155	-2.18858	-2.19311	-2.15693	-2.13962	-2.17297	-2.13841	-2.15601	-2.10855	-2.16903	-2.14029	-2.15132	-2.19164	-2.16728	-2.20291	-2.2367	-2.13413	0.995308	74.7818	1.81744
150	-140648	-140368	-280.109	0.203302	0.185451	0.182502	0.201529	0.19608	0.19592	0.174783	0.196336	0.177096	0.184238	0.197519	0.181226	0.176187	0.201486	0.173142	0.186024	0.185656	0.185561	0.183671	0.201675	0.191469	0.19613	0.188929	0.198758	0.00648794	0.00681134	0.00729871	0.00652535	0.00806793	0.00732274	0.00761767	0.00666559	0.00735553	0.00649611	0.00736377	0.00690421	0.00654949	0.00629023	0.00698222	0.00692223	0.00695484	0.00693441	0.00699084	0.00679949	0.00773392	0.00651434	0.00677211	0.00684536	3.64729	4.18731	5.40534	5.41151	4.94427	4.29034	5.3876	4.95979	4.35925	4.96334	5.28296	6.04275	4.81406	4.7844	4.46986	5.23406	5.38254	5.15381	5.77839	5.19676	4.62651	3.90814	4.42553	5.22065	4.64919	-2.18789	-2.16677	-2.13675	-2.1854	-2.09324	-2.13533	-2.11818	-2.17616	-2.13339	-2.18735	-2.1329	-2.16089	-2.18379	-2.20133	-2.15601	-2.15975	-2.15771	-2.15899	-2.15547	-2.16752	-2.1116	-2.18613	-2.16928	-2.1646	0.995714	75.4695	3.66299
